BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
ATAD2A,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
ATAD2B,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BAZ1B,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BAZ2A,BAZ2-ICR,BDILV000379a,>50000,,4,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BAZ2B,BAZ2-ICR,BDILV000379a,7.6,0.35,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD1,BAZ2-ICR,BDILV000379a,21000,1400,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD2(1),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"BRD2(1,2)",BAZ2-ICR,BDILV000379a,45000,5700,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD2(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD3(1),BAZ2-ICR,BDILV000379a,40000,2100,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"BRD3(1,2)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD3(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD4(1),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"BRD4(1,2)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD4(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"BRD4(full-length,short-iso.)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD7,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD8(1),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD8(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRD9,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRDT(1),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"BRDT(1,2)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRDT(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRPF1,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
BRPF3,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
CECR2,BAZ2-ICR,BDILV000379a,1000,130,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
CREBBP,BAZ2-ICR,BDILV000379a,21000,710,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
EP300,BAZ2-ICR,BDILV000379a,41000,3500,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
