LINCS_name,cid
ALW-II-38-3,NA
ALW-II-49-7,24875320
Dactolisib,11977753
NVP-TAE684,16038120
R406,11984591
BMS-536924,135440466
KIN001-111,9549184
XMD-12,54592204
Canertinib,156414
KIN001-123,NA
5z-7-oxozeaenol,9863776
JNK-IN-8,57340686
ZSTK474,11647372
MPS-1-IN-1,NA
Ibrutinib,24821094
TGX221,9907093
BGJ398,53235510
KIN001-021,NA
Pictilisib,17755052
Buparlisib,16654980
Alpelisib,56649450
Taselisib,51001932
CH5424802,49806720
Ceritinib,57379345
Ribociclib,44631912
BMX-IN-1,71576693
SCH772984,24866313
THZ1,73602827
JNK-IN-11,57340689
WZ4003,72200024
ERK5-IN-1,46844147
Abemaciclib,46220502
Palbociclib,5330286
QL-XII-47,NA
UNC10225469A,NA
UNC10225012A,NA
UNC10225159A,NA
UNC10225310A,NA
UNC10225187A,NA
UNC10225062A,NA
UNC10225296A,NA
UNC10225430A,NA
UNC10225266A,NA
UNC10225324A,NA
PFE-PKIS 1,NA
PFE-PKIS 10,71731823
PFE-PKIS 11,NA
PFE-PKIS 12,NA
PFE-PKIS 13,NA
PFE-PKIS 14,NA
PFE-PKIS 15,NA
PFE-PKIS 16,NA
PFE-PKIS 17,NA
PFE-PKIS 18,139036271
PFE-PKIS 19,NA
PFE-PKIS 2,NA
PFE-PKIS 20,NA
PFE-PKIS 21,NA
PFE-PKIS 22,NA
PFE-PKIS 23,NA
PFE-PKIS 24,NA
PFE-PKIS 25,NA
PFE-PKIS 26,NA
PFE-PKIS 27,NA
PFE-PKIS 28,NA
PFE-PKIS 29,NA
PFE-PKIS 3,NA
PFE-PKIS 30,NA
PFE-PKIS 31,NA
PFE-PKIS 32,NA
PFE-PKIS 33,NA
PFE-PKIS 34,NA
PFE-PKIS 35,NA
PFE-PKIS 36,NA
PFE-PKIS 37,NA
PFE-PKIS 38,NA
PFE-PKIS 39,NA
PFE-PKIS 4,NA
PFE-PKIS 40,NA
PFE-PKIS 41,NA
PFE-PKIS 42,NA
PFE-PKIS 43,NA
PFE-PKIS 44,NA
PFE-PKIS 45,NA
PFE-PKIS 46,NA
PFE-PKIS 47,NA
PFE-PKIS 5,NA
PFE-PKIS 6,NA
PFE-PKIS 7,NA
PFE-PKIS 8,53344620
PFE-PKIS 9,NA
SB-210486,NA
SB-226605,NA
UNC10225272A,NA
UNC10225284A,NA
TPKI-100,NA
TPKI-101,NA
TPKI-102,NA
TPKI-103,NA
TPKI-104,NA
TPKI-105,NA
TPKI-106,NA
TPKI-107,NA
TPKI-108,NA
TPKI-109,NA
TPKI-110,NA
TPKI-111,NA
TPKI-112,NA
TPKI-113,NA
TPKI-114,NA
TPKI-16,NA
TPKI-24,NA
TPKI-25,NA
TPKI-26,NA
TPKI-27,NA
TPKI-28,NA
TPKI-29,NA
TPKI-30,NA
TPKI-31,NA
TPKI-32,NA
TPKI-33,NA
TPKI-34,NA
TPKI-35,NA
TPKI-36,NA
TPKI-37,NA
TPKI-38,NA
TPKI-39,NA
TPKI-40,NA
TPKI-41,NA
TPKI-42,NA
TPKI-43,NA
TPKI-44,NA
TPKI-45,NA
TPKI-46,NA
TPKI-47,NA
TPKI-48,NA
TPKI-49,NA
TPKI-50,NA
TPKI-51,NA
TPKI-52,NA
TPKI-53,NA
TPKI-54,NA
TPKI-55,NA
TPKI-56,NA
TPKI-57,NA
TPKI-58,NA
TPKI-59,NA
TPKI-60,NA
TPKI-61,NA
TPKI-62,NA
TPKI-63,NA
TPKI-64,NA
TPKI-65,NA
TPKI-66,NA
TPKI-67,NA
TPKI-68,NA
TPKI-69,NA
TPKI-70,NA
TPKI-71,NA
TPKI-72,NA
TPKI-73,NA
TPKI-74,NA
TPKI-75,NA
TPKI-76,NA
TPKI-77,NA
TPKI-78,NA
TPKI-79,NA
TPKI-80,NA
TPKI-81,NA
TPKI-82,NA
TPKI-83,NA
TPKI-84,NA
TPKI-85,NA
TPKI-86,NA
TPKI-87,NA
TPKI-88,NA
TPKI-89,NA
TPKI-90,NA
TPKI-91,NA
TPKI-92,NA
TPKI-93,NA
TPKI-94,NA
TPKI-95,NA
TPKI-96,NA
TPKI-97,NA
TPKI-98,NA
TPKI-99,NA
UNC10112604A,NA
UNC10112721A,NA
UNC10112764A,NA
UNC10112774A,NA
UNC10112792A,NA
UNC10112830A,NA
UNC10126563B,NA
UNC10224985A,NA
UNC10224986A,NA
UNC10224987A,NA
UNC10224988A,NA
UNC10224989A,NA
UNC10224990A,NA
UNC10224991A,NA
UNC10224992A,NA
UNC10224993A,NA
UNC10224994A,NA
UNC10224995A,NA
UNC10224997A,NA
UNC10224998A,NA
UNC10224999A,NA
UNC10225000A,NA
UNC10225001A,NA
UNC10225002A,NA
UNC10225003A,NA
UNC10225004A,NA
UNC10225005A,NA
UNC10225006A,NA
UNC10225007A,NA
UNC10225008A,NA
UNC10225009A,NA
UNC10225010A,NA
UNC10225011A,NA
UNC10225013A,NA
UNC10225014A,NA
UNC10225015A,NA
UNC10225016A,NA
UNC10225018A,NA
UNC10225019A,NA
UNC10225020A,NA
UNC10225021A,NA
UNC10225022A,NA
UNC10225023A,NA
UNC10225023B,NA
UNC10225024A,NA
UNC10225025A,NA
UNC10225026A,NA
UNC10225027A,NA
