drug,cid
ALW-II-38-3,24880028
ALW-II-49-7,24875320
Dactolisib,11977753
NVP-TAE684,16038120
R406,11984591
BMS-536924,135440466
KIN001-111,9549184
XMD-12,54592204
Canertinib,156414
KIN001-123,49821040
5z-7-oxozeaenol,9863776
JNK-IN-8,57340686
ZSTK474,11647372
MPS-1-IN-1,25195352
Ibrutinib,24821094
TGX221,9907093
BGJ398,53235510
KIN001-021,24825971
Pictilisib,17755052
Buparlisib,16654980
Alpelisib,56649450
Taselisib,51001932
CH5424802,49806720
Ceritinib,57379345
Ribociclib,44631912
BMX-IN-1,71576693
SCH772984,24866313
THZ1,73602827
JNK-IN-11,57340689
WZ4003,72200024
ERK5-IN-1,46844147
Abemaciclib,46220502
Palbociclib,5330286
QL-XII-47,71748056
UNC10225469A,70683337
UNC10225012A,53466951
UNC10225159A,44529239
UNC10225310A,44529279
UNC10225187A,2787267
UNC10225062A,7
UNC10225296A,44532438
UNC10225430A,25023825
UNC10225266A,9998128
UNC10225324A,25190912
PFE-PKIS 10,71731823
PFE-PKIS 11,50992245
PFE-PKIS 12,71552942
PFE-PKIS 13,11612883
PFE-PKIS 14,56675921
PFE-PKIS 15,9937619
PFE-PKIS 16,138726948
PFE-PKIS 18,139036271
PFE-PKIS 19,11715767
PFE-PKIS 2,70693799
PFE-PKIS 21,9826528
PFE-PKIS 23,21952489
PFE-PKIS 24,138726947
PFE-PKIS 25,9926791
PFE-PKIS 26,11598628
PFE-PKIS 27,6918454
PFE-PKIS 3,5328127
PFE-PKIS 30,135565545
PFE-PKIS 31,53484072
PFE-PKIS 32,5330286
PFE-PKIS 33,45271846
PFE-PKIS 34,49856321
PFE-PKIS 37,11626560
PFE-PKIS 38,4369491
PFE-PKIS 39,24871823
PFE-PKIS 4,17754438
PFE-PKIS 41,22049997
PFE-PKIS 43,56675920
PFE-PKIS 6,6450551
PFE-PKIS 7,5328135
PFE-PKIS 8,53344620
PFE-PKIS 9,53484073
SB-210486,10452739
SB-226605,23133388
UNC10225272A,14308053
UNC10225284A,44305910
TPKI-100,9958506
TPKI-101,10195059
TPKI-102,11213972
TPKI-103,44451560
TPKI-104,44451561
TPKI-105,11678117
TPKI-106,11277481
TPKI-107,9952773
TPKI-108,10134696
TPKI-109,11418329
TPKI-110,10165183
TPKI-111,59507062
TPKI-112,59507002
TPKI-113,59506918
TPKI-114,25206346
TPKI-16,24968572
TPKI-24,25015677
TPKI-25,25252909
TPKI-26,25252911
TPKI-27,57970023
TPKI-28,57955668
TPKI-29,25253525
TPKI-30,57955660
TPKI-31,57955606
TPKI-32,2814562
TPKI-33,122180346
TPKI-34,71765510
TPKI-35,57505462
TPKI-36,70988670
TPKI-37,44595039
TPKI-38,57505524
TPKI-39,57505525
TPKI-40,57505526
TPKI-41,57441068
TPKI-42,57505784
TPKI-43,15949613
TPKI-44,57386062
TPKI-45,57386319
TPKI-46,57386570
TPKI-47,57387590
TPKI-48,71568837
TPKI-49,71567007
TPKI-50,71567008
TPKI-51,71567006
TPKI-52,71567148
TPKI-53,71567144
TPKI-54,71567146
TPKI-55,59175651
TPKI-56,59175418
TPKI-57,59175319
TPKI-58,59175292
TPKI-59,24944925
TPKI-60,56851433
TPKI-61,56851594
TPKI-62,56849555
TPKI-63,56849556
TPKI-64,56849558
TPKI-65,56849703
TPKI-66,56849850
TPKI-67,52941625
TPKI-68,15949611
TPKI-69,52950146
TPKI-70,52942278
TPKI-71,52947605
TPKI-72,52946084
TPKI-73,52944922
TPKI-74,52943750
TPKI-75,52943829
TPKI-76,52942791
TPKI-77,52946218
TPKI-78,52948666
TPKI-79,68663586
TPKI-80,44481212
TPKI-81,24855983
TPKI-82,44480949
TPKI-83,44481752
TPKI-84,44478382
TPKI-85,44478652
TPKI-86,44481207
TPKI-87,44482290
TPKI-88,44590237
TPKI-89,44590238
TPKI-90,44590414
TPKI-91,23729136
TPKI-92,68664487
TPKI-93,44590466
TPKI-94,44590535
TPKI-95,10153026
TPKI-96,44451882
TPKI-97,44451820
TPKI-98,44451795
TPKI-99,44451791
UNC10112604A,44532523
UNC10112721A,10173796
UNC10112764A,57393604
UNC10112774A,57396350
UNC10112792A,44536036
UNC10112830A,599038
