drug_name,cid,origin
ALW-II-38-3,24880028,LINCS
ALW-II-49-7,24875320,LINCS
Dactolisib,11977753,LINCS
NVP-TAE684,16038120,LINCS
R406,11984591,LINCS
BMS-536924,135440466,LINCS
KIN001-111,9549184,LINCS
XMD-12,54592204,LINCS
Canertinib,156414,LINCS
KIN001-123,49821040,LINCS
5z-7-oxozeaenol,9863776,LINCS
JNK-IN-8,57340686,LINCS
ZSTK474,11647372,LINCS
MPS-1-IN-1,25195352,LINCS
Ibrutinib,24821094,LINCS
TGX221,9907093,LINCS
BGJ398,53235510,LINCS
KIN001-021,24825971,LINCS
Pictilisib,17755052,LINCS
Buparlisib,16654980,LINCS
Alpelisib,56649450,LINCS
Taselisib,51001932,LINCS
CH5424802,49806720,LINCS
Ceritinib,57379345,LINCS
Ribociclib,44631912,LINCS
BMX-IN-1,71576693,LINCS
SCH772984,24866313,LINCS
THZ1,73602827,LINCS
JNK-IN-11,57340689,LINCS
WZ4003,72200024,LINCS
ERK5-IN-1,46844147,LINCS
Abemaciclib,46220502,LINCS
Palbociclib,5330286,LINCS
QL-XII-47,71748056,LINCS
UNC10225469A,70683337,LINCS
UNC10225012A,53466951,LINCS
UNC10225159A,44529239,LINCS
UNC10225310A,44529279,LINCS
UNC10225187A,2787267,LINCS
UNC10225062A,7,LINCS
UNC10225296A,44532438,LINCS
UNC10225430A,25023825,LINCS
UNC10225266A,9998128,LINCS
UNC10225324A,25190912,LINCS
PFE-PKIS 10,71731823,LINCS
PFE-PKIS 11,50992245,LINCS
PFE-PKIS 12,71552942,LINCS
PFE-PKIS 13,11612883,LINCS
PFE-PKIS 14,56675921,LINCS
PFE-PKIS 15,9937619,LINCS
PFE-PKIS 16,138726948,LINCS
PFE-PKIS 18,139036271,LINCS
PFE-PKIS 19,11715767,LINCS
PFE-PKIS 2,70693799,LINCS
PFE-PKIS 21,9826528,LINCS
PFE-PKIS 23,21952489,LINCS
PFE-PKIS 24,138726947,LINCS
PFE-PKIS 25,9926791,LINCS
PFE-PKIS 26,11598628,LINCS
PFE-PKIS 27,6918454,LINCS
PFE-PKIS 3,5328127,LINCS
PFE-PKIS 30,135565545,LINCS
PFE-PKIS 31,53484072,LINCS
PFE-PKIS 32,5330286,LINCS
PFE-PKIS 33,45271846,LINCS
PFE-PKIS 34,49856321,LINCS
PFE-PKIS 37,11626560,LINCS
PFE-PKIS 38,4369491,LINCS
PFE-PKIS 39,24871823,LINCS
PFE-PKIS 4,17754438,LINCS
PFE-PKIS 41,22049997,LINCS
PFE-PKIS 43,56675920,LINCS
PFE-PKIS 6,6450551,LINCS
PFE-PKIS 7,5328135,LINCS
PFE-PKIS 8,53344620,LINCS
PFE-PKIS 9,53484073,LINCS
SB-210486,10452739,LINCS
SB-226605,23133388,LINCS
UNC10225272A,14308053,LINCS
UNC10225284A,44305910,LINCS
TPKI-100,9958506,LINCS
TPKI-101,10195059,LINCS
TPKI-102,11213972,LINCS
TPKI-103,44451560,LINCS
TPKI-104,44451561,LINCS
TPKI-105,11678117,LINCS
TPKI-106,11277481,LINCS
TPKI-107,9952773,LINCS
TPKI-108,10134696,LINCS
TPKI-109,11418329,LINCS
TPKI-110,10165183,LINCS
TPKI-111,59507062,LINCS
TPKI-112,59507002,LINCS
TPKI-113,59506918,LINCS
TPKI-114,25206346,LINCS
TPKI-16,24968572,LINCS
TPKI-24,25015677,LINCS
TPKI-25,25252909,LINCS
TPKI-26,25252911,LINCS
TPKI-27,57970023,LINCS
TPKI-28,57955668,LINCS
TPKI-29,25253525,LINCS
TPKI-30,57955660,LINCS
TPKI-31,57955606,LINCS
TPKI-32,2814562,LINCS
TPKI-33,122180346,LINCS
TPKI-34,71765510,LINCS
TPKI-35,57505462,LINCS
TPKI-36,70988670,LINCS
TPKI-37,44595039,LINCS
TPKI-38,57505524,LINCS
TPKI-39,57505525,LINCS
TPKI-40,57505526,LINCS
TPKI-41,57441068,LINCS
TPKI-42,57505784,LINCS
TPKI-43,15949613,LINCS
TPKI-44,57386062,LINCS
TPKI-45,57386319,LINCS
TPKI-46,57386570,LINCS
TPKI-47,57387590,LINCS
TPKI-48,71568837,LINCS
TPKI-49,71567007,LINCS
TPKI-50,71567008,LINCS
TPKI-51,71567006,LINCS
TPKI-52,71567148,LINCS
TPKI-53,71567144,LINCS
TPKI-54,71567146,LINCS
TPKI-55,59175651,LINCS
TPKI-56,59175418,LINCS
TPKI-57,59175319,LINCS
TPKI-58,59175292,LINCS
TPKI-59,24944925,LINCS
TPKI-60,56851433,LINCS
TPKI-61,56851594,LINCS
TPKI-62,56849555,LINCS
TPKI-63,56849556,LINCS
TPKI-64,56849558,LINCS
TPKI-65,56849703,LINCS
TPKI-66,56849850,LINCS
TPKI-67,52941625,LINCS
TPKI-68,15949611,LINCS
TPKI-69,52950146,LINCS
TPKI-70,52942278,LINCS
TPKI-71,52947605,LINCS
TPKI-72,52946084,LINCS
TPKI-73,52944922,LINCS
TPKI-74,52943750,LINCS
TPKI-75,52943829,LINCS
TPKI-76,52942791,LINCS
TPKI-77,52946218,LINCS
TPKI-78,52948666,LINCS
TPKI-79,68663586,LINCS
TPKI-80,44481212,LINCS
TPKI-81,24855983,LINCS
TPKI-82,44480949,LINCS
TPKI-83,44481752,LINCS
TPKI-84,44478382,LINCS
TPKI-85,44478652,LINCS
TPKI-86,44481207,LINCS
TPKI-87,44482290,LINCS
TPKI-88,44590237,LINCS
TPKI-89,44590238,LINCS
TPKI-90,44590414,LINCS
TPKI-91,23729136,LINCS
TPKI-92,68664487,LINCS
TPKI-93,44590466,LINCS
TPKI-94,44590535,LINCS
TPKI-95,10153026,LINCS
TPKI-96,44451882,LINCS
TPKI-97,44451820,LINCS
TPKI-98,44451795,LINCS
TPKI-99,44451791,LINCS
UNC10112604A,44532523,LINCS
UNC10112721A,10173796,LINCS
UNC10112764A,57393604,LINCS
UNC10112774A,57396350,LINCS
